,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4
76,2023-03-31 10:57:21.053452,"(-184.0, 101.0, 68.0)","(-81.0, 704.0, 980.0)","(-136.0, -151.0, -47.0)","(-179.0, -68.0, -130.0)"
77,2023-03-31 10:57:21.067524,"(-193.0, 79.0, 60.0)","(-130.0, 765.0, 1001.0)","(-113.0, -144.0, -49.0)","(-171.0, -50.0, -198.0)"
78,2023-03-31 10:57:21.081584,"(-179.0, 51.0, 84.0)","(-142.0, 754.0, 995.0)","(-146.0, -149.0, -44.0)","(-236.0, -75.0, -134.0)"
79,2023-03-31 10:57:21.110132,"(-185.0, 20.0, 120.0)","(-163.0, 728.0, 1018.0)","(-113.0, -51.0, -57.0)","(-241.0, -30.0, -124.0)"
80,2023-03-31 10:57:21.124120,"(-206.0, 44.0, 62.0)","(-126.0, 781.0, 994.0)","(-131.0, -96.0, -54.0)","(-266.0, -57.0, -180.0)"
81,2023-03-31 10:57:21.138018,"(-230.0, 72.0, 57.0)","(-146.0, 782.0, 1022.0)","(-149.0, -126.0, -81.0)","(-240.0, -61.0, -179.0)"
82,2023-03-31 10:57:21.152609,"(-218.0, 53.0, 42.0)","(-154.0, 790.0, 1021.0)","(-160.0, -55.0, -52.0)","(-213.0, -50.0, -197.0)"
83,2023-03-31 10:57:21.165650,"(-218.0, -7.0, 38.0)","(-179.0, 799.0, 1037.0)","(-141.0, -33.0, -63.0)","(-254.0, -24.0, -120.0)"
84,2023-03-31 10:57:21.180439,"(-218.0, 14.0, 38.0)","(-183.0, 811.0, 1029.0)","(-137.0, -40.0, -50.0)","(-260.0, 35.0, -130.0)"
85,2023-03-31 10:57:21.194944,"(-237.0, -24.0, 52.0)","(-158.0, 804.0, 966.0)","(-140.0, 19.0, -35.0)","(-197.0, -25.0, -127.0)"
86,2023-03-31 10:57:21.209014,"(-180.0, -52.0, -14.0)","(-152.0, 843.0, 1042.0)","(-149.0, -11.0, -53.0)","(-252.0, 34.0, -138.0)"
87,2023-03-31 10:57:21.236986,"(-210.0, -3.0, 31.0)","(-167.0, 824.0, 1009.0)","(-83.0, -17.0, -107.0)","(-202.0, -23.0, -108.0)"
88,2023-03-31 10:57:21.251148,"(-204.0, -48.0, -16.0)","(-126.0, 863.0, 1030.0)","(-90.0, 7.0, -33.0)","(-198.0, -1.0, -104.0)"
89,2023-03-31 10:57:21.265260,"(-198.0, -30.0, -20.0)","(-94.0, 859.0, 983.0)","(-110.0, 28.0, -45.0)","(-204.0, 43.0, -114.0)"
90,2023-03-31 10:57:21.279120,"(-144.0, -16.0, -39.0)","(-99.0, 899.0, 1003.0)","(-71.0, 21.0, -31.0)","(-122.0, 28.0, -89.0)"
91,2023-03-31 10:57:21.293316,"(-138.0, -44.0, -24.0)","(-101.0, 839.0, 991.0)","(-58.0, 2.0, -36.0)","(-140.0, 65.0, -107.0)"
92,2023-03-31 10:57:21.308019,"(-97.0, -20.0, 1.0)","(-97.0, 858.0, 1011.0)","(-65.0, -2.0, -22.0)","(-140.0, 36.0, -80.0)"
93,2023-03-31 10:57:21.322713,"(-116.0, -2.0, 2.0)","(-61.0, 827.0, 1014.0)","(-29.0, 10.0, -35.0)","(-124.0, 10.0, -108.0)"
94,2023-03-31 10:57:21.337059,"(-56.0, 22.0, -1.0)","(-58.0, 865.0, 1023.0)","(-54.0, 11.0, -33.0)","(-138.0, -16.0, -88.0)"
95,2023-03-31 10:57:21.351406,"(-8.0, 9.0, 50.0)","(-34.0, 836.0, 1033.0)","(-4.0, -11.0, -10.0)","(-79.0, -59.0, -99.0)"
96,2023-03-31 10:57:21.379467,"(-56.0, 66.0, -7.0)","(-49.0, 839.0, 1044.0)","(15.0, -31.0, -9.0)","(-66.0, -32.0, -132.0)"
97,2023-03-31 10:57:21.391215,"(-28.0, 58.0, 8.0)","(-10.0, 863.0, 1016.0)","(-13.0, -67.0, -36.0)","(-17.0, -63.0, -128.0)"
98,2023-03-31 10:57:21.405497,"(-54.0, 107.0, 8.0)","(-15.0, 884.0, 1063.0)","(8.0, -52.0, -11.0)","(-72.0, -83.0, -140.0)"
99,2023-03-31 10:57:21.419721,"(-11.0, 46.0, 52.0)","(-20.0, 826.0, 1090.0)","(-4.0, -111.0, 7.0)","(-63.0, -127.0, -123.0)"
100,2023-03-31 10:57:21.434048,"(-61.0, 104.0, 71.0)","(8.0, 834.0, 1135.0)","(-13.0, -140.0, -35.0)","(-88.0, -99.0, -139.0)"
101,2023-03-31 10:57:21.448348,"(-79.0, 90.0, 65.0)","(-40.0, 864.0, 1123.0)","(-27.0, -104.0, -15.0)","(-80.0, -137.0, -179.0)"
102,2023-03-31 10:57:21.474551,"(-75.0, 137.0, 85.0)","(-106.0, 821.0, 1132.0)","(-12.0, -176.0, -36.0)","(-63.0, -179.0, -186.0)"
103,2023-03-31 10:57:21.488784,"(-72.0, 145.0, 83.0)","(-51.0, 798.0, 1118.0)","(-32.0, -199.0, -12.0)","(-156.0, -213.0, -200.0)"
104,2023-03-31 10:57:21.502365,"(-118.0, 144.0, 89.0)","(-64.0, 837.0, 1184.0)","(-65.0, -217.0, 41.0)","(-94.0, -153.0, -155.0)"
105,2023-03-31 10:57:21.517445,"(-130.0, 168.0, 83.0)","(-68.0, 850.0, 1183.0)","(-34.0, -235.0, 3.0)","(-154.0, -187.0, -170.0)"
106,2023-03-31 10:57:21.532194,"(-131.0, 224.0, 96.0)","(-54.0, 863.0, 1179.0)","(-73.0, -221.0, -4.0)","(-169.0, -235.0, -199.0)"
107,2023-03-31 10:57:21.546773,"(-123.0, 208.0, 103.0)","(-41.0, 884.0, 1206.0)","(-110.0, -284.0, 38.0)","(-192.0, -263.0, -174.0)"
108,2023-03-31 10:57:21.561179,"(-101.0, 264.0, 82.0)","(-107.0, 860.0, 1184.0)","(-119.0, -284.0, 51.0)","(-190.0, -260.0, -162.0)"
109,2023-03-31 10:57:21.575602,"(-160.0, 284.0, 55.0)","(-111.0, 888.0, 1217.0)","(-112.0, -269.0, 87.0)","(-177.0, -311.0, -191.0)"
110,2023-03-31 10:57:21.589572,"(-153.0, 358.0, 90.0)","(-41.0, 943.0, 1272.0)","(-119.0, -287.0, 38.0)","(-216.0, -312.0, -172.0)"
111,2023-03-31 10:57:21.604106,"(-160.0, 370.0, 66.0)","(-100.0, 951.0, 1268.0)","(-112.0, -291.0, 94.0)","(-218.0, -358.0, -170.0)"
112,2023-03-31 10:57:21.632606,"(-174.0, 334.0, 90.0)","(-117.0, 947.0, 1249.0)","(-149.0, -309.0, 118.0)","(-212.0, -313.0, -139.0)"
113,2023-03-31 10:57:21.648037,"(-193.0, 373.0, 53.0)","(-116.0, 1011.0, 1291.0)","(-118.0, -309.0, 95.0)","(-242.0, -396.0, -151.0)"
114,2023-03-31 10:57:21.662426,"(-179.0, 400.0, -2.0)","(-135.0, 1027.0, 1287.0)","(-127.0, -260.0, 149.0)","(-247.0, -410.0, -101.0)"
115,2023-03-31 10:57:21.676779,"(-220.0, 391.0, -11.0)","(-118.0, 1030.0, 1300.0)","(-135.0, -274.0, 150.0)","(-209.0, -390.0, -99.0)"
116,2023-03-31 10:57:21.691881,"(-189.0, 433.0, 55.0)","(-105.0, 1052.0, 1323.0)","(-174.0, -290.0, 154.0)","(-263.0, -407.0, -112.0)"
117,2023-03-31 10:57:21.705845,"(-203.0, 423.0, 5.0)","(-112.0, 1120.0, 1306.0)","(-131.0, -280.0, 166.0)","(-223.0, -484.0, -101.0)"
118,2023-03-31 10:57:21.720937,"(-190.0, 446.0, -4.0)","(-129.0, 1147.0, 1295.0)","(-117.0, -233.0, 239.0)","(-237.0, -450.0, -22.0)"
119,2023-03-31 10:57:21.735843,"(-201.0, 466.0, -33.0)","(-140.0, 1212.0, 1310.0)","(-129.0, -255.0, 213.0)","(-225.0, -449.0, -71.0)"
120,2023-03-31 10:57:21.750550,"(-197.0, 442.0, -33.0)","(-122.0, 1212.0, 1355.0)","(-93.0, -234.0, 212.0)","(-236.0, -448.0, -53.0)"
121,2023-03-31 10:57:21.765621,"(-241.0, 441.0, -60.0)","(-91.0, 1206.0, 1294.0)","(-166.0, -195.0, 231.0)","(-201.0, -478.0, -49.0)"
122,2023-03-31 10:57:21.780054,"(-244.0, 459.0, -78.0)","(-112.0, 1250.0, 1287.0)","(-111.0, -125.0, 262.0)","(-190.0, -436.0, 10.0)"
123,2023-03-31 10:57:21.794407,"(-159.0, 436.0, -90.0)","(-114.0, 1269.0, 1299.0)","(-126.0, -127.0, 276.0)","(-221.0, -447.0, 48.0)"
124,2023-03-31 10:57:21.822666,"(-239.0, 428.0, -118.0)","(-103.0, 1325.0, 1276.0)","(-108.0, -80.0, 247.0)","(-214.0, -430.0, 9.0)"
125,2023-03-31 10:57:21.837141,"(-173.0, 384.0, -118.0)","(-75.0, 1323.0, 1253.0)","(-96.0, -67.0, 292.0)","(-176.0, -436.0, 72.0)"
126,2023-03-31 10:57:21.851563,"(-185.0, 389.0, -123.0)","(-66.0, 1328.0, 1243.0)","(-88.0, -51.0, 215.0)","(-148.0, -396.0, 40.0)"
127,2023-03-31 10:57:21.865931,"(-174.0, 386.0, -149.0)","(-25.0, 1342.0, 1245.0)","(-69.0, -13.0, 225.0)","(-153.0, -405.0, 100.0)"
128,2023-03-31 10:57:21.880491,"(-122.0, 393.0, -178.0)","(-72.0, 1287.0, 1244.0)","(-70.0, -8.0, 241.0)","(-170.0, -349.0, 119.0)"
129,2023-03-31 10:57:21.895199,"(-99.0, 337.0, -175.0)","(-44.0, 1310.0, 1205.0)","(-73.0, 20.0, 220.0)","(-143.0, -355.0, 111.0)"
130,2023-03-31 10:57:21.909772,"(-113.0, 325.0, -166.0)","(-14.0, 1312.0, 1179.0)","(-4.0, 63.0, 230.0)","(-139.0, -343.0, 127.0)"
131,2023-03-31 10:57:21.925414,"(-135.0, 294.0, -202.0)","(-10.0, 1365.0, 1177.0)","(-71.0, 129.0, 232.0)","(-129.0, -303.0, 124.0)"
132,2023-03-31 10:57:21.940651,"(-124.0, 315.0, -185.0)","(-37.0, 1315.0, 1159.0)","(-68.0, 99.0, 181.0)","(-71.0, -292.0, 105.0)"
133,2023-03-31 10:57:21.956658,"(-127.0, 261.0, -199.0)","(-30.0, 1282.0, 1138.0)","(-41.0, 67.0, 180.0)","(-48.0, -233.0, 136.0)"
134,2023-03-31 10:57:21.968665,"(-145.0, 223.0, -182.0)","(17.0, 1284.0, 1084.0)","(-6.0, 132.0, 167.0)","(-112.0, -174.0, 98.0)"
135,2023-03-31 10:57:21.992380,"(-124.0, 184.0, -214.0)","(31.0, 1230.0, 1032.0)","(15.0, 100.0, 171.0)","(-54.0, -167.0, 84.0)"
